dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-students-2df-32p,32,32,0.3134469408141671,11,3.4516380109648966e-09,,seconds,0.0,0.0024352092295885,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3125091671263665,11,3.2152950843721966e-09,,seconds,0.0,0.0023751519620418,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.293706119898613,11,1.3221860651665147e-11,,seconds,0.0,0.0023642089217901,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3447974512506026,11,6.5356250135352765e-09,,seconds,0.0,0.0023951847106218,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3432837221850415,11,8.990153921662254e-12,,seconds,0.0,0.0026409048587083,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3125309990406906,11,4.908931448266465e-09,,seconds,0.0,0.0023607350885868,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3096587318210224,11,2.923848810058957e-09,,seconds,0.0,0.0023803375661373,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.5127006811997008,11,6.546295993276128e-10,,seconds,0.0,0.0024199560284614,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3051006500514893,11,6.24236842012148e-11,,seconds,0.0,0.0023833531886339,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3212981665788896,11,1.5804955362267872e-09,,seconds,0.0,0.0025342553853988,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3697992714443411,11,3.017292048617479e-09,,seconds,0.0,0.002286173403263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3257140452588572,11,2.0479086552212474e-09,,seconds,0.0,0.0022786520421504,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.351113520448287,11,3.737222744755516e-09,,seconds,0.0,0.0022651739418506,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.606116514762985,11,2.3705808100152355e-11,,seconds,0.0,0.0023549105972051,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.565404472349543,11,2.7877611758603244e-10,,seconds,0.0,0.0022733863443136,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3215847464817375,11,4.208610163353146e-09,,seconds,0.0,0.0023698806762695,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3419403823598805,11,9.106441505224327e-10,,seconds,0.0,0.0023665875196456,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.4458043422332746,11,8.702334750335489e-10,,seconds,0.0,0.0023071374744176,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.3776311365480863,11,6.627733261622828e-09,,seconds,0.0,0.002361549064517,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-students-2df-32p,32,32,0.4394796357312199,11,6.722408791791204e-09,,seconds,0.0,0.0022962726652622,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
