dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-32p,32,32,0.1260124076223937,11,1.0133394846210137e-16,,seconds,0.0,0.0024944879114627,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.0074077707676164,11,8.334040486704435e-17,,seconds,0.0,0.0023869965225458,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.0531170522563095,11,1.1102231569740467e-16,,seconds,0.0,0.0024209916591644,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.2752044147789894,11,1.1188719530203923e-16,,seconds,0.0,0.0023772846907377,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.4059174932078423,11,5.732469717779556e-17,,seconds,0.0,0.0023761764168739,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,1.2468314532166374,11,1.144392213219615e-16,,seconds,0.0,0.0024167746305465,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.3045595513068894,11,1.1188630228279544e-16,,seconds,0.0,0.0023486409336328,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.5961204183069457,11,6.397968936961176e-17,,seconds,0.0,0.0023441668599843,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.0340675923794042,11,5.721958538289194e-17,,seconds,0.0,0.0023518204689025,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.0286741651191234,11,6.206951502561728e-17,,seconds,0.0,0.0022071432322263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.0891831135818453,11,5.725245167486163e-17,,seconds,0.0,0.0023469123989343,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-1c-32p,32,32,0.0909952030654532,11,6.21610086024589e-17,,seconds,0.0,0.0023213122040033,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
