dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-2c-32p,32,32,0.043667444317416,11,8.68055402983615e-17,,seconds,0.0,0.0030595548450946,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.6726511316734913,11,6.546141663504833e-17,,seconds,0.0,0.0027089603245258,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.1616393706514867,11,4.177770877916608e-17,,seconds,0.0,0.0024762284010648,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.2195774234520877,11,4.005862954819825e-17,,seconds,0.0,0.0023964289575815,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.037149126457047,11,4.181368267634687e-17,,seconds,0.0,0.0024398192763328,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.273018783568797,11,8.695883802226045e-13,,seconds,0.0,0.0024188049137592,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.072228389006734,11,5.764204625038261e-17,,seconds,0.0,0.0025577265769243,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.2938102764836414,11,4.6547515989930386e-17,,seconds,0.0,0.0025382693856954,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.4650546713269954,11,6.24560681919158e-17,,seconds,0.0,0.002336187288165,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.0904330656187228,11,2.311039959574472e-16,,seconds,0.0,0.0024418663233518,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.2343083793496281,11,6.521429614301888e-17,,seconds,0.0,0.0023790542036294,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.2869870146715874,11,8.921643348255849e-17,,seconds,0.0,0.0025757849216461,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.13788806545935,11,6.369104259473294e-17,,seconds,0.0,0.0024066939949989,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.3263768395810789,11,4.0094221324725866e-12,,seconds,0.0,0.0023647397756576,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.7373847318726015,11,6.798700317864684e-17,,seconds,0.0,0.00236152485013,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gaussian-2c-32p,32,32,0.2796470657583675,11,1.2966584412692791e-08,,seconds,0.0,0.0023436639457941,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
