dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gen-hyperb-mixture-2c-32p,32,32,0.1354423455068954,11,4.4439251794306746e-17,,seconds,0.0,0.0024797115474939,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.0995401750914597,11,4.7864472470313776e-17,,seconds,0.0,0.0023882668465375,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.2324602134004484,11,6.4076716934689e-17,,seconds,0.0,0.0023855604231357,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.2774133166210556,11,5.175573871692141e-12,,seconds,0.0,0.0024362262338399,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.1584928575696781,11,6.208762997431873e-17,,seconds,0.0,0.002412037923932,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.2332802218079394,11,6.941648508263258e-17,,seconds,0.0,0.0025967266410589,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.2146336483951583,11,1.166892968530209e-15,,seconds,0.0,0.0023005176335573,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.1498439546474983,11,4.700867476892605e-17,,seconds,0.0,0.0023074150085449,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.2621975507284744,11,2.7810645350357456e-17,,seconds,0.0,0.0024300478398799,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-gen-hyperb-mixture-2c-32p,32,32,0.1219783255106011,11,3.926492486631924e-17,,seconds,0.0,0.002369625493884,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
