dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-cauchy-vs-gaussian-32p,32,32,1.6069794112397746,11,5.594315781034093e-17,,seconds,0.0,0.0025325957685709,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.5135262442353405,11,3.9261930842775086e-17,,seconds,0.0,0.0023330189287662,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1403903984327237,11,1.2432353298863444e-16,,seconds,0.0,0.0028598681092262,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.0879538844839151,11,5.551115164487338e-17,,seconds,0.0,0.0024966467171907,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1522760183427915,11,2.314409786063609e-17,,seconds,0.0,0.0024679210036993,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2674574947814407,11,2.467030512745531e-17,,seconds,0.0,0.0023442283272743,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.5175049524286114,11,1.1443922132196074e-16,,seconds,0.0,0.0022171102464199,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1788625617776189,11,1.1107649954940279e-16,,seconds,0.0,0.0025684237480163,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2045533336001176,11,1.2498067357702232e-16,,seconds,0.0,0.0024294033646583,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.6401523690908024,11,6.834571021610231e-17,,seconds,0.0,0.0025611836463212,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1872083432098626,11,2.818613206303653e-17,,seconds,0.0,0.0023680049926042,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,1.2540202915495555,11,6.209384011968097e-17,,seconds,0.0,0.0023415796458721,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2930472889697317,11,6.206942033369114e-17,,seconds,0.0,0.0022951364517211,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.5543756654094065,11,7.858248433107299e-17,,seconds,0.0,0.0023155491799116,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2684407129035821,11,1.154862109119991e-16,,seconds,0.0,0.0023888498544692,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2378357510796464,11,5.56465114693644e-17,,seconds,0.0,0.0023953896015882,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2670896974561785,11,3.104379630067033e-17,,seconds,0.0,0.0023385416716337,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.905343893517956,11,5.551115784870233e-17,,seconds,0.0,0.0023502875119447,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.4249604121298819,11,1.1103585437259275e-16,,seconds,0.0,0.0026705358177423,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1504664106960352,11,2.5391635267130948e-17,,seconds,0.0,0.0023219734430313,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.4924068995858817,11,4.063661482007513e-17,,seconds,0.0,0.0023085344582796,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.8731146711379364,11,5.015732992095309e-17,,seconds,0.0,0.0023004803806543,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1513418582281331,11,6.20754803144715e-17,,seconds,0.0,0.0023750383406877,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.8755221484707789,11,6.24801546970363e-17,,seconds,0.0,0.0024968795478343,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.4536435231266,11,6.206524784865115e-17,,seconds,0.0,0.0026425905525684,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.2493577204745894,11,1.1188630310358827e-16,,seconds,0.0,0.0023450516164302,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.3523969543823458,11,3.555125210177728e-17,,seconds,0.0,0.002428576350212,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.1899679647698796,11,5.551115164484812e-17,,seconds,0.0,0.0024124551564455,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.3553255815084024,11,4.3472045706752456e-17,,seconds,0.0,0.002231853082776,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.3921676151967105,11,7.858125028065543e-17,,seconds,0.0,0.0028489623218774,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-32p,32,32,0.4461269373786967,11,6.206638428687604e-17,,seconds,0.0,0.0022753663361072,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-vs-gaussian-64p,64,64,0.2674629461707852,11,5.066650343790533e-17,,seconds,0.6604568958282471,0.460952190682292,megabytes,88268.0,88268.0,0.0,0.0,0.04968448,0.04968448,0.50703125,0.30859375,success,sinkhorn,1.0,100000
