dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-cauchy-32p,32,32,0.900394609998131,228216,9.999824628980998e-07,,seconds,9.478100061416626,9.360758256167172,megabytes,544.0,544.0,79.0,74.5609756097561,0.171368448,0.171368448,0.80625,0.768826219512195,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999824628980998e-07,
1D-cauchy-32p,32,32,0.3077911912927088,65631,9.999386459046954e-07,,seconds,2.87162709236145,2.7035590782761574,megabytes,544.0,544.0,76.0,72.84615384615384,0.173535232,0.173535232,0.81328125,0.7275240384615385,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999386459046954e-07,
1D-cauchy-32p,32,32,0.3239745438741506,147234,9.999473055923046e-07,,seconds,6.192877769470215,6.024564070627093,megabytes,544.0,544.0,78.0,74.83333333333333,0.171331584,0.171331584,0.79921875,0.75205078125,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999473055923046e-07,
1D-cauchy-32p,32,32,0.2632379834476724,203653,9.999663060812814e-07,,seconds,8.026485443115234,7.978157529607415,megabytes,544.0,544.0,80.0,77.18181818181819,0.171327488,0.171327488,0.80703125,0.7740056818181817,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999663060812814e-07,
1D-cauchy-32p,32,32,0.4642657980757442,186659,9.999684634167682e-07,,seconds,7.470875263214111,7.450564749538898,megabytes,544.0,544.0,80.0,74.8,0.171282432,0.171282432,0.8140625,0.7747991071428573,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999684634167682e-07,
1D-cauchy-32p,32,32,0.5805459767629472,676394,9.999971822809097e-07,,seconds,27.63229894638061,27.504114696756005,megabytes,544.0,544.0,79.0,75.99159663865547,0.236638208,0.236638208,0.81796875,0.7744353991596639,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999971822809097e-07,
1D-cauchy-32p,32,32,0.3416972628916783,170971,9.999883524363048e-07,,seconds,7.215375423431396,7.093052223324776,megabytes,544.0,544.0,79.0,72.38235294117646,0.171311104,0.171311104,0.821875,0.7635340073529413,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999883524363048e-07,
1D-cauchy-32p,32,32,0.2168846755114535,103334,9.999799977582043e-07,,seconds,4.268241882324219,4.068496895954013,megabytes,544.0,544.0,81.0,75.6842105263158,0.171454464,0.171454464,0.80078125,0.7382401315789474,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999799977582043e-07,
1D-cauchy-32p,32,32,0.2310816317673988,88490,9.999660003123208e-07,,seconds,3.638929605484009,3.6276995427906513,megabytes,544.0,544.0,78.0,70.52941176470588,0.171384832,0.171384832,0.80859375,0.7772058823529412,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999660003123208e-07,
1D-cauchy-32p,32,32,0.3937671689531572,278869,9.999860842058494e-07,,seconds,10.911940097808838,10.92151253297925,megabytes,544.0,544.0,81.0,77.8936170212766,0.171442176,0.171442176,0.81875,0.7836768617021277,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999860842058494e-07,
