dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-students-2df-32p,32,32,0.3776302616989536,52904,9.99855988581371e-07,,seconds,2.2085533142089844,2.0807306319475174,megabytes,544.0,544.0,81.0,74.3,0.164163584,0.164163584,0.80546875,0.7189062500000001,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99855988581371e-07,
1D-students-2df-32p,32,32,0.3124582939249284,32454,9.999988474526234e-07,,seconds,1.4822824001312256,1.3560945689678192,megabytes,544.0,544.0,75.0,64.0,0.163917824,0.163917824,0.79609375,0.703125,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999988474526234e-07,
1D-students-2df-32p,32,32,0.3158961970641646,30895,9.997589158094606e-07,,seconds,1.2788476943969729,1.2601460721343756,megabytes,544.0,544.0,77.0,68.16666666666667,0.16381952,0.16381952,0.7984375,0.7669270833333334,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.997589158094606e-07,
1D-students-2df-32p,32,32,0.312530767637282,30279,9.9981551943124e-07,,seconds,1.3699157238006592,1.2237773705273869,megabytes,544.0,544.0,79.0,71.5,0.163803136,0.163803136,0.790625,0.6717447916666667,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.9981551943124e-07,
1D-students-2df-32p,32,32,0.2937063387741062,98355,9.99923158792715e-07,,seconds,4.041523456573486,4.012027721852064,megabytes,544.0,544.0,78.0,73.94736842105263,0.164020224,0.164020224,0.81640625,0.7793585526315789,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99923158792715e-07,
1D-students-2df-32p,32,32,0.6061155084209724,251053,9.999826566819013e-07,,seconds,10.141611337661743,10.080299731343985,megabytes,544.0,544.0,79.0,75.5909090909091,0.163987456,0.163987456,0.81171875,0.7721058238636362,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999826566819013e-07,
1D-students-2df-32p,32,32,0.3257130598541742,38266,9.998489971601385e-07,,seconds,1.5869948863983154,1.4944820757955313,megabytes,544.0,544.0,81.0,66.28571428571429,0.163782656,0.163782656,0.7859375,0.7136160714285714,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.998489971601385e-07,
1D-students-2df-32p,32,32,0.3134468991094284,24705,9.998294118513795e-07,,seconds,1.165959358215332,0.999527122825384,megabytes,544.0,544.0,78.0,72.6,0.16398336,0.16398336,0.79765625,0.6303124999999999,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.998294118513795e-07,
1D-students-2df-32p,32,32,0.3096584186510382,40717,9.998027120764318e-07,,seconds,1.7024130821228027,1.656551044434309,megabytes,544.0,544.0,77.0,72.375,0.16384,0.16384,0.7984375,0.7494140625,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.998027120764318e-07,
1D-students-2df-32p,32,32,0.3432835063044337,141574,9.999709034920198e-07,,seconds,5.833630800247192,5.731884151697159,megabytes,544.0,544.0,79.0,73.14814814814815,0.164012032,0.164012032,0.8109375,0.7599537037037037,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999709034920198e-07,
1D-students-2df-32p,32,32,0.3511129843612669,58456,9.99847377399297e-07,,seconds,2.5910022258758545,2.439911786466837,megabytes,544.0,544.0,77.0,69.66666666666667,0.163950592,0.163950592,0.7953125,0.7178385416666667,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99847377399297e-07,
1D-students-2df-32p,32,32,0.3447963321868132,41736,9.999385152682016e-07,,seconds,1.7217159271240234,1.6956492587924004,megabytes,544.0,544.0,78.0,68.125,0.163831808,0.163831808,0.81015625,0.7763671875,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999385152682016e-07,
1D-students-2df-32p,32,32,0.5654034440179612,92933,9.999729108882133e-07,,seconds,3.794316530227661,3.641968749463558,megabytes,544.0,544.0,81.0,75.52941176470588,0.1639424,0.1639424,0.80390625,0.7285386029411766,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999729108882133e-07,
1D-students-2df-32p,32,32,0.4394775206318504,45582,9.997776191821563e-07,,seconds,1.8944382667541504,1.8525477331131697,megabytes,544.0,544.0,78.0,66.5,0.16375808,0.16375808,0.80234375,0.7568359375,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.997776191821563e-07,
1D-students-2df-32p,32,32,0.3215843463266667,45324,9.999005714258793e-07,,seconds,1.8961243629455569,1.8299128375947475,megabytes,544.0,544.0,79.0,70.33333333333333,0.164118528,0.164118528,0.80625,0.7527777777777778,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999005714258793e-07,
1D-students-2df-32p,32,32,0.3269765673715591,34906,9.99990280899408e-07,,seconds,1.5275907516479492,1.38076332770288,megabytes,544.0,544.0,80.0,73.42857142857143,0.163770368,0.163770368,0.79609375,0.6887276785714286,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99990280899408e-07,
1D-students-2df-32p,32,32,0.3697981297791773,47495,9.9980182904105e-07,,seconds,2.1340038776397705,1.973301289603114,megabytes,544.0,544.0,76.0,64.6,0.16402432,0.16402432,0.7921875,0.708359375,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.9980182904105e-07,
1D-students-2df-32p,32,32,0.3212972974732161,36962,9.998537089781892e-07,,seconds,1.4911620616912842,1.442489005625248,megabytes,544.0,544.0,80.0,76.16666666666667,0.163864576,0.163864576,0.80859375,0.7626302083333334,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.998537089781892e-07,
1D-students-2df-32p,32,32,0.4458027790205359,54424,9.999454504928724e-07,,seconds,2.31924057006836,2.2777074202895164,megabytes,544.0,544.0,75.0,67.27272727272727,0.163946496,0.163946496,0.80625,0.76171875,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999454504928724e-07,
1D-students-2df-32p,32,32,0.5005802008084215,772177,9.999922307579163e-07,,seconds,31.02350950241089,30.93590829148889,megabytes,544.0,544.0,82.0,77.05882352941177,0.227393536,0.227393536,0.821875,0.7795611213235293,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999922307579163e-07,
1D-students-2df-32p,32,32,0.3125090871999845,28217,9.99713920862378e-07,,seconds,1.3454349040985107,1.1651754546910524,megabytes,544.0,544.0,76.0,64.2,0.163401728,0.163401728,0.80078125,0.6207812500000001,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99713920862378e-07,
1D-students-2df-32p,32,32,0.4813769164521537,78488,9.999562282705878e-07,,seconds,3.358198642730713,3.195835307240486,megabytes,544.0,544.0,79.0,70.4375,0.164130816,0.164130816,0.80625,0.7273437500000001,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999562282705878e-07,
1D-students-2df-32p,32,32,0.3447091209596717,37578,9.99986292381299e-07,,seconds,1.6745569705963137,1.508219139650464,megabytes,544.0,544.0,79.0,65.28571428571429,0.1636352,0.1636352,0.78359375,0.6731026785714286,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99986292381299e-07,
1D-students-2df-32p,32,32,0.3419399513995353,59330,9.998972199475022e-07,,seconds,2.5115270614624023,2.3772344533354044,megabytes,544.0,544.0,79.0,70.0,0.164048896,0.164048896,0.82109375,0.7367897727272728,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.998972199475022e-07,
1D-students-2df-32p,32,32,0.3173731564299293,27444,9.997671660780889e-07,,seconds,1.08207368850708,1.1376329232007265,megabytes,544.0,544.0,75.0,69.25,0.163381248,0.163381248,0.79140625,0.7724609375,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.997671660780889e-07,
1D-students-2df-32p,32,32,0.3051004530545756,32804,9.999131859240268e-07,,seconds,1.4289603233337402,1.3324238993227482,megabytes,544.0,544.0,79.0,66.66666666666667,0.163590144,0.163590144,0.80078125,0.72109375,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999131859240268e-07,
1D-students-2df-32p,32,32,0.5126997195531223,100001,9.999998327248798e-07,,seconds,3.929022073745728,3.930993791669607,megabytes,544.0,544.0,80.0,77.26315789473684,0.164159488,0.164159488,0.81640625,0.7767269736842106,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999998327248798e-07,
1D-students-2df-32p,32,32,0.3136459819679359,39392,9.998011169844257e-07,,seconds,1.627290964126587,1.5684860087931156,megabytes,544.0,544.0,79.0,66.25,0.163643392,0.163643392,0.80546875,0.7446289062500001,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.998011169844257e-07,
1D-students-2df-32p,32,32,0.3301920941121593,35778,9.999555330815283e-07,,seconds,1.5729076862335205,1.4128295723348856,megabytes,544.0,544.0,81.0,68.0,0.163647488,0.163647488,0.81328125,0.6765625000000001,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999555330815283e-07,
1D-students-2df-32p,32,32,0.3185816618774467,152777,9.99984830667455e-07,,seconds,6.344579696655273,6.153205770999193,megabytes,544.0,544.0,80.0,73.79310344827586,0.164347904,0.164347904,0.8125,0.754040948275862,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99984830667455e-07,
