dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (9, 14)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (12, 10)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (15, 13)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (16, 15)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (11, 8)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (13, 16)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (14, 11)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (14, 13)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (13, 13)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (14, 11)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (10, 10)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (12, 9)."
1D-exponential-32p,32,32,cost_euclid_squared,,,,,,,,,,,,,,,,failed,sgd,1.0,1000000,1e-06,0.002,0.9,,"Cost shape (32, 32) incompatible with marginals (16, 11)."
