dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-gaussian-2c-32p,32,32,0.0410392789339465,1000000,0.0001997930527719,,seconds,41.67334413528442,41.5375274438411,megabytes,544.0,544.0,81.0,75.04945054945055,0.230662144,0.230662144,0.83828125,0.7773094093406595,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001997930527719,
1D-gaussian-2c-32p,32,32,0.4981532222119864,1000000,0.0001721961760401,,seconds,39.5672287940979,39.52740428224206,megabytes,544.0,544.0,80.0,77.98203592814372,0.227991552,0.227991552,0.815625,0.7779004491017965,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001721961760401,
1D-gaussian-2c-32p,32,32,0.0562016456554564,1000000,0.0001917007554941,,seconds,41.54920339584351,41.522067649289966,megabytes,544.0,544.0,79.0,75.5,0.22796288,0.22796288,0.82578125,0.7778575067934785,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001917007554941,
1D-gaussian-2c-32p,32,32,0.1841492937496169,1000000,0.0001530159042893,,seconds,39.35030269622803,39.20040089078248,megabytes,544.0,544.0,83.0,78.61309523809524,0.231763968,0.231763968,0.84375,0.7766415550595236,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001530159042893,
1D-gaussian-2c-32p,32,32,0.5793300252414204,1000000,0.0001815112410061,,seconds,39.00877237319946,38.99510801024735,megabytes,544.0,544.0,81.0,79.08720930232558,0.227790848,0.227790848,0.8234375,0.7810501453488368,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001815112410061,
1D-gaussian-2c-32p,32,32,0.1680389518508338,1000000,0.0001936973823552,,seconds,38.916460037231445,38.90083744004369,megabytes,544.0,544.0,81.0,79.18072289156626,0.227868672,0.227868672,0.8125,0.7806711219879519,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001936973823552,
1D-gaussian-2c-32p,32,32,0.0998083566606932,1000000,0.0002150825002854,,seconds,39.18364548683167,39.11563348956406,megabytes,544.0,544.0,80.0,78.91515151515152,0.227786752,0.227786752,0.81953125,0.778697916666667,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002150825002854,
1D-gaussian-2c-32p,32,32,0.1439913503582613,1000000,0.0001943572683525,,seconds,38.78027820587158,38.63367632031441,megabytes,544.0,544.0,83.0,79.57142857142857,0.227848192,0.227848192,0.81953125,0.7769810267857143,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001943572683525,
1D-gaussian-2c-32p,32,32,0.0433772524283136,1000000,0.000202238123255,,seconds,40.45291543006897,40.3719287160784,megabytes,544.0,544.0,79.0,76.62702702702703,0.228012032,0.228012032,0.83671875,0.7778336148648644,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.000202238123255,
1D-gaussian-2c-32p,32,32,0.2486999744174061,1000000,0.0001559448392877,,seconds,38.48617362976074,38.355464274063706,megabytes,544.0,544.0,82.0,80.04494382022472,0.227897344,0.227897344,0.8171875,0.7771989115168542,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001559448392877,
