dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-gen-hyperb-mixture-2c-32p,32,32,0.3492627655322484,475084,9.999918785103856e-07,,seconds,19.634333848953247,19.56388578377664,megabytes,544.0,544.0,79.0,75.11827956989248,0.230203392,0.230203392,0.809375,0.7763020833333336,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999918785103856e-07,
1D-gen-hyperb-mixture-2c-32p,32,32,0.17322963980039,1000000,0.0001351949683666,,seconds,40.74595594406128,40.61422240920365,megabytes,544.0,544.0,79.0,76.66492146596859,0.2301952,0.2301952,0.83515625,0.774251472513089,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001351949683666,
1D-gen-hyperb-mixture-2c-32p,32,32,0.277413803304336,352664,9.99983993807415e-07,,seconds,14.177243709564207,14.148144576698542,megabytes,544.0,544.0,79.0,76.640625,0.166969344,0.166969344,0.81171875,0.7733642578125002,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.99983993807415e-07,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2926830465599143,1000000,0.0001493515276665,,seconds,39.76624846458435,39.59239513613284,megabytes,544.0,544.0,81.0,77.79569892473118,0.230289408,0.230289408,0.8265625,0.7762558803763442,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001493515276665,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1228255216407768,1000000,0.0001380454556506,,seconds,39.71755480766296,39.54954164288938,megabytes,544.0,544.0,83.0,77.87096774193549,0.230264832,0.230264832,0.82265625,0.7773143481182794,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001380454556506,
1D-gen-hyperb-mixture-2c-32p,32,32,0.3548811008290742,1000000,9.2415305562791e-05,,seconds,40.57653617858887,40.5159166213125,megabytes,544.0,544.0,79.0,76.56770833333333,0.230170624,0.230170624,0.825,0.7779012044270835,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.2415305562791e-05,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1592290253866121,1000000,0.000180311746088,,seconds,40.474117279052734,40.43130781315267,megabytes,544.0,544.0,79.0,76.72251308900523,0.230146048,0.230146048,0.82265625,0.7776709751308903,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.000180311746088,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1973040969837975,1000000,0.0001145633044538,,seconds,39.05131006240845,39.009858060628176,megabytes,544.0,544.0,81.0,78.82417582417582,0.230211584,0.230211584,0.82109375,0.7798634958791207,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001145633044538,
1D-gen-hyperb-mixture-2c-32p,32,32,0.0859857385313605,1000000,0.0001074846902154,,seconds,40.10806584358215,39.96444944106042,megabytes,544.0,544.0,83.0,77.61413043478261,0.230223872,0.230223872,0.81640625,0.7756241508152177,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001074846902154,
1D-gen-hyperb-mixture-2c-32p,32,32,0.0999744367851296,1000000,0.0001548198826334,,seconds,39.46679210662842,39.35816079378128,megabytes,544.0,544.0,83.0,78.19251336898395,0.230309888,0.230309888,0.8171875,0.7742396390374335,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001548198826334,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2936873277932778,1000000,5.417384075796695e-05,,seconds,39.866408348083496,39.86177691817284,megabytes,544.0,544.0,80.0,77.7081081081081,0.230301696,0.230301696,0.8234375,0.7771283783783784,success,sgd,1.0,1000000,1e-06,0.002,0.9,5.417384075796695e-05,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2964300040272539,1000000,2.306996490685783e-06,,seconds,39.8534996509552,39.73307357169688,megabytes,544.0,544.0,83.0,77.76795580110497,0.230354944,0.230354944,0.83125,0.7766488259668506,success,sgd,1.0,1000000,1e-06,0.002,0.9,2.306996490685783e-06,
1D-gen-hyperb-mixture-2c-32p,32,32,0.122253365620035,1000000,0.0001431758406275,,seconds,40.97389578819275,40.936209470033646,megabytes,544.0,544.0,79.0,75.98461538461538,0.230518784,0.230518784,0.815625,0.7781209935897435,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001431758406275,
1D-gen-hyperb-mixture-2c-32p,32,32,0.4070815732146097,1000000,0.0001616506293038,,seconds,39.68500375747681,39.53631610795856,megabytes,544.0,544.0,83.0,78.11351351351351,0.230600704,0.230600704,0.815625,0.7761697635135137,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001616506293038,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1500979021535205,1000000,0.0001177082743897,,seconds,39.65917491912842,39.60955853946507,megabytes,544.0,544.0,81.0,77.5752688172043,0.230576128,0.230576128,0.81640625,0.780283938172043,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001177082743897,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2625783887169652,1000000,0.0001513197467187,,seconds,39.83676719665527,39.65009159967303,megabytes,544.0,544.0,83.0,78.10227272727273,0.230408192,0.230408192,0.8203125,0.77578125,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001513197467187,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2336508411283747,1000000,0.0001828133044649,,seconds,40.77852964401245,40.67290123552084,megabytes,544.0,544.0,79.0,75.96923076923076,0.230391808,0.230391808,0.81875,0.7795592948717954,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001828133044649,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1995325954002599,1000000,0.0001500179489886,,seconds,40.37327575683594,40.305716617032886,megabytes,544.0,544.0,81.0,76.80952380952381,0.230412288,0.230412288,0.82421875,0.7762690145502649,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001500179489886,
1D-gen-hyperb-mixture-2c-32p,32,32,0.112683358015443,1000000,0.0001420587813596,,seconds,39.8705370426178,39.74462211318314,megabytes,544.0,544.0,82.0,77.734375,0.230404096,0.230404096,0.815625,0.7769897460937498,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001420587813596,
1D-gen-hyperb-mixture-2c-32p,32,32,0.0666487909875921,1000000,0.0001580800314353,,seconds,39.754976749420166,39.601533928886056,megabytes,544.0,544.0,80.0,77.8695652173913,0.230404096,0.230404096,0.81953125,0.774231487771739,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001580800314353,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1815387595109972,1000000,7.052911582328587e-05,,seconds,39.06108474731445,38.99892896600068,megabytes,544.0,544.0,81.0,79.03333333333333,0.230498304,0.230498304,0.815625,0.7787977430555554,success,sgd,1.0,1000000,1e-06,0.002,0.9,7.052911582328587e-05,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2120934937791721,1000000,4.1246982386828255e-05,,seconds,40.23982357978821,40.12458215467632,megabytes,544.0,544.0,80.0,77.31382978723404,0.230465536,0.230465536,0.84140625,0.7768700132978723,success,sgd,1.0,1000000,1e-06,0.002,0.9,4.1246982386828255e-05,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1359233310159807,1000000,0.0001572016682107,,seconds,40.182982206344604,40.002525724470615,megabytes,544.0,544.0,80.0,77.31550802139037,0.230526976,0.230526976,0.81796875,0.7765248997326204,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001572016682107,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1842343114578245,1000000,0.0001294980298119,,seconds,40.21389961242676,40.13955465145409,megabytes,544.0,544.0,80.0,77.05208333333333,0.230641664,0.230641664,0.825,0.7802652994791665,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001294980298119,
1D-gen-hyperb-mixture-2c-32p,32,32,0.077439318252457,1000000,5.449037559375958e-05,,seconds,39.43592119216919,39.38925803266466,megabytes,544.0,544.0,80.0,78.21739130434783,0.230723584,0.230723584,0.81640625,0.7798488451086958,success,sgd,1.0,1000000,1e-06,0.002,0.9,5.449037559375958e-05,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2149318530817503,1000000,0.0001093436197661,,seconds,40.245139837265015,40.128168100491166,megabytes,544.0,544.0,80.0,77.22751322751323,0.230756352,0.230756352,0.8171875,0.7767691798941797,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001093436197661,
1D-gen-hyperb-mixture-2c-32p,32,32,0.077906232328996,1000000,0.0001732973005721,,seconds,41.52102279663086,41.3599736969918,megabytes,544.0,544.0,79.0,75.03465346534654,0.230539264,0.230539264,0.82578125,0.777301206683168,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001732973005721,
1D-gen-hyperb-mixture-2c-32p,32,32,0.1431948452863219,1000000,0.0001109849389964,,seconds,40.275569438934326,40.15860471688211,megabytes,544.0,544.0,80.0,76.95811518324608,0.230535168,0.230535168,0.8125,0.774578697643979,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001109849389964,
1D-gen-hyperb-mixture-2c-32p,32,32,0.4295861198702987,1000000,0.0001314677031518,,seconds,40.435460329055786,40.34719745256007,megabytes,544.0,544.0,80.0,77.05913978494624,0.230559744,0.230559744,0.81484375,0.776785114247312,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001314677031518,
1D-gen-hyperb-mixture-2c-32p,32,32,0.2328062371228983,1000000,0.0001279414929571,,seconds,39.801804542541504,39.677595833316445,megabytes,544.0,544.0,84.0,78.04444444444445,0.23058432,0.23058432,0.8390625,0.7796484374999999,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001279414929571,
1D-gen-hyperb-mixture-2c-32p,32,32,0.3029891770957628,1000000,0.0001067976678279,,seconds,40.43594622612,40.36976592428982,megabytes,544.0,544.0,80.0,76.58421052631579,0.230633472,0.230633472,0.8265625,0.7770024671052637,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001067976678279,
1D-gen-hyperb-mixture-2c-64p,64,64,0.3492291414287861,906838,9.999959246705202e-07,,seconds,40.22545409202576,40.178157003596425,megabytes,544.0,544.0,83.0,80.02127659574468,0.253222912,0.253222912,0.82890625,0.774567819148936,success,sgd,1.0,1000000,1e-06,0.002,0.9,9.999959246705202e-07,
