dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-cauchy-vs-gaussian-32p,32,32,0.1922597299880952,1000000.0,0.0001569570418906,,seconds,38.19660711288452,38.129823537543416,megabytes,544.0,544.0,82.0,81.62234042553192,0.23560192,0.23560192,0.8171875,0.7767453457446812,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001569570418906,
1D-cauchy-vs-gaussian-32p,32,32,0.24091515517900464,1000000.0,0.0001556119611279,,seconds,37.144041299819946,37.011287400498986,megabytes,544.0,544.0,85.0,83.54166666666667,0.235491328,0.235491328,0.82421875,0.7758975074404763,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001556119611279,
1D-cauchy-vs-gaussian-32p,32,32,0.14455949435574902,1000000.0,0.000156058964672,,seconds,36.83651304244995,36.77823773771525,megabytes,544.0,544.0,86.0,83.88165680473372,0.23543808,0.23543808,0.81328125,0.7772328032544378,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.000156058964672,
1D-cauchy-vs-gaussian-32p,32,32,1.6102202223382334,1000000.0,0.0001602434041627,,seconds,37.024425745010376,36.87197241559625,megabytes,544.0,544.0,85.0,84.08571428571429,0.235515904,0.235515904,0.8234375,0.7765133928571429,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001602434041627,
1D-cauchy-vs-gaussian-32p,32,32,0.2704594132335828,1000000.0,0.0001570072686504,,seconds,36.64678978919983,36.61914601922035,megabytes,544.0,544.0,86.0,84.08720930232558,0.235511808,0.235511808,0.8171875,0.7775617732558145,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001570072686504,
1D-cauchy-vs-gaussian-32p,32,32,0.15426302222155774,1000000.0,0.0001560051829346,,seconds,37.05331754684448,36.8716291077435,megabytes,544.0,544.0,85.0,83.25568181818181,0.235606016,0.235606016,0.81484375,0.7745649857954544,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001560051829346,
1D-cauchy-vs-gaussian-32p,32,32,0.15408850837539617,1000000.0,0.0001570630201445,,seconds,36.98961567878723,36.90406241081655,megabytes,544.0,544.0,85.0,83.88823529411765,0.235487232,0.235487232,0.8265625,0.7774678308823529,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001570630201445,
1D-cauchy-vs-gaussian-32p,32,32,0.4557750611546545,1000000.0,0.0001576475073408,,seconds,36.64971399307251,36.61293005384505,megabytes,544.0,544.0,86.0,84.05325443786982,0.235548672,0.235548672,0.8171875,0.7764191937869819,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001576475073408,
1D-cauchy-vs-gaussian-32p,32,32,0.2945111218853451,1000000.0,0.0001571931569457,,seconds,36.93855905532837,36.84249604679644,megabytes,544.0,544.0,86.0,83.89880952380952,0.23554048,0.23554048,0.8140625,0.7794782366071428,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001571931569457,
1D-cauchy-vs-gaussian-32p,32,32,0.8734411202396863,1000000.0,0.0001576625008081,,seconds,36.61293578147888,36.57521823979914,megabytes,544.0,544.0,86.0,83.97687861271676,0.235638784,0.235638784,0.81875,0.7813132225433524,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001576625008081,
1D-cauchy-vs-gaussian-32p,32,32,0.1894542972780404,1000000.0,0.00015665556611,,seconds,37.32450222969055,37.20353653654456,megabytes,544.0,544.0,84.0,83.30681818181819,0.235626496,0.235626496,0.81796875,0.7758567116477271,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.00015665556611,
1D-cauchy-vs-gaussian-32p,32,32,0.2026631595427172,1000000.0,0.0001571131375762,,seconds,37.17655801773071,36.98488199524581,megabytes,544.0,544.0,85.0,83.86746987951807,0.235687936,0.235687936,0.81484375,0.773098644578313,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001571131375762,
