dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-exp-vs-cauchy-32p,,,0.2582869818135378,1000000,0.0001629611684459,,seconds,37.9103593826294,37.70946598425508,megabytes,88270.0,88270.0,83.0,81.86021505376344,0.43661312,0.43661312,0.81171875,0.773605510752688,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001629611684459,
1D-exp-vs-cauchy-32p,,,0.3990017180545216,1000000,0.0001635188667514,,seconds,37.79468321800232,37.70861391723156,megabytes,88270.0,88270.0,83.0,81.8695652173913,0.436088832,0.436088832,0.8078125,0.7793138586956517,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001635188667514,
1D-exp-vs-cauchy-32p,,,0.7891552240435221,1000000,0.0001618758846446,,seconds,38.75181770324707,38.65433597564697,megabytes,88270.0,88270.0,81.0,79.72641509433963,0.436187136,0.436187136,0.81484375,0.7764740566037732,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001618758846446,
1D-exp-vs-cauchy-32p,,,0.7315071448416988,1000000,0.0001602970023852,,seconds,37.14279818534851,36.84848023019731,megabytes,88270.0,88270.0,84.0,83.18181818181819,0.384630784,0.384630784,0.80390625,0.772185724431818,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001602970023852,
1D-exp-vs-cauchy-32p,,,0.268600208039197,1000000,0.0001636368439661,,seconds,37.71488952636719,37.56173548661173,megabytes,88270.0,88270.0,83.0,82.42857142857143,0.381448192,0.381448192,0.8171875,0.7767020089285713,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001636368439661,
1D-exp-vs-cauchy-32p,,,0.3604928171145898,1000000,0.0001630780681769,,seconds,37.93436527252197,37.90858764387667,megabytes,88270.0,88270.0,82.0,81.42268041237114,0.377434112,0.377434112,0.82265625,0.7812419458762885,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001630780681769,
1D-exp-vs-cauchy-32p,,,0.4941732557397418,1000000,0.0001623839191301,,seconds,37.677865982055664,37.508697574958205,megabytes,88270.0,88270.0,83.0,82.29126213592232,0.369549312,0.369549312,0.81953125,0.7727245145631069,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001623839191301,
1D-exp-vs-cauchy-32p,,,0.5248408679384629,1000000,0.000162236641526,,seconds,37.07711052894592,36.97349196858704,megabytes,88270.0,88270.0,84.0,82.68,0.353148928,0.353148928,0.8234375,0.7744218749999997,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.000162236641526,
1D-exp-vs-cauchy-32p,,,0.5839769585654155,1000000,0.0001632331061273,,seconds,37.50406217575073,37.46813243068755,megabytes,88270.0,88270.0,83.0,82.47727272727273,0.248332288,0.248332288,0.8140625,0.7787020596590909,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001632331061273,
1D-exp-vs-cauchy-32p,,,0.5817439072647924,1000000,0.0001623407448601,,seconds,37.010111808776855,36.97530478425324,megabytes,88270.0,88270.0,84.0,83.19047619047619,0.248414208,0.248414208,0.8078125,0.7776506696428569,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001623407448601,
1D-exp-vs-cauchy-32p,,,0.2826627717550686,1000000,0.0001634174534338,,seconds,37.580782651901245,37.47954306006432,megabytes,88270.0,88270.0,83.0,82.55555555555556,0.248434688,0.248434688,0.81484375,0.7758777006172838,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001634174534338,
1D-exp-vs-cauchy-32p,,,0.4474053973925985,1000000,0.0001635226373128,,seconds,37.15632033348084,36.93569188378751,megabytes,88270.0,88270.0,84.0,83.05660377358491,0.24860672,0.24860672,0.8078125,0.7722951061320752,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001635226373128,
1D-exp-vs-cauchy-32p,,,0.7256317917945464,1000000,0.0001574412300253,,seconds,37.259116649627686,37.363827945664525,megabytes,88270.0,88270.0,83.0,82.58108108108108,0.248578048,0.248578048,0.8046875,0.7794552364864864,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001574412300253,
1D-exp-vs-cauchy-32p,,,0.6159682804313339,1000000,0.0001612793961874,,seconds,36.932393312454224,36.950761042535305,megabytes,88270.0,88270.0,84.0,83.53846153846153,0.248684544,0.248684544,0.80390625,0.7782881181318678,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001612793961874,
1D-exp-vs-cauchy-32p,,,0.2079126063135952,1000000,0.0001628921626179,,seconds,37.58570742607117,37.620416624471545,megabytes,88270.0,88270.0,83.0,81.74038461538461,0.248713216,0.248713216,0.815625,0.7800255408653844,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001628921626179,
1D-exp-vs-cauchy-32p,,,0.1763624520679816,1000000,0.0001633126691328,,seconds,37.28129839897156,37.35362393967807,megabytes,88270.0,88270.0,83.0,82.48351648351648,0.248598528,0.248598528,0.80546875,0.778253777472527,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001633126691328,
1D-exp-vs-cauchy-32p,,,0.1629790403178121,1000000,0.0001620969433883,,seconds,38.78156518936157,38.67719969153404,megabytes,88270.0,88270.0,82.0,80.22988505747126,0.248655872,0.248655872,0.8125,0.7760955459770116,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001620969433883,
1D-exp-vs-cauchy-32p,,,0.7716051151367169,1000000,0.000161582008454,,seconds,37.759716272354126,37.71224965527654,megabytes,88270.0,88270.0,83.0,81.73033707865169,0.24866816,0.24866816,0.82265625,0.7790291432584272,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.000161582008454,
1D-exp-vs-cauchy-32p,,,0.2750095217446743,1000000,0.0001635999842287,,seconds,38.440767765045166,38.42369677498937,megabytes,88270.0,88270.0,82.0,80.42342342342343,0.248672256,0.248672256,0.8109375,0.777090371621622,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001635999842287,
1D-exp-vs-cauchy-32p,,,0.0412154074066304,1000000,0.0001601402992184,,seconds,36.74960279464722,36.88604339398444,megabytes,88270.0,88270.0,84.0,83.66666666666667,0.248664064,0.248664064,0.81171875,0.7794540229885059,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001601402992184,
1D-exp-vs-cauchy-32p,,,0.2508420364628797,1000000,0.0001633714437681,,seconds,38.36401462554932,38.36315646953881,megabytes,88270.0,88270.0,82.0,80.34042553191489,0.248713216,0.248713216,0.81015625,0.7810505319148938,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001633714437681,
1D-exp-vs-cauchy-32p,,,0.1790896846137163,1000000,0.0001628446646398,,seconds,37.23745918273926,37.08297405578196,megabytes,88270.0,88270.0,84.0,82.97058823529412,0.248733696,0.248733696,0.8125,0.7742647058823531,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001628446646398,
1D-exp-vs-cauchy-32p,,,0.182722051816042,1000000,0.00016284809274,,seconds,38.79594397544861,38.60737716406584,megabytes,88270.0,88270.0,82.0,80.13483146067416,0.24887296,0.24887296,0.80234375,0.7711551966292135,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.00016284809274,
1D-exp-vs-cauchy-32p,,,0.2671218967209709,1000000,0.0001638276578726,,seconds,37.20372915267944,37.233314296230674,megabytes,88270.0,88270.0,84.0,82.26315789473684,0.24879104,0.24879104,0.80859375,0.7816885964912278,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001638276578726,
1D-exp-vs-cauchy-32p,,,0.2981240602029429,1000000,0.0001635638059923,,seconds,38.548588514328,38.58365701511502,megabytes,88270.0,88270.0,82.0,79.54639175257732,0.248832,0.248832,0.80234375,0.7800821520618558,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001635638059923,
1D-exp-vs-cauchy-32p,,,0.2270574623019181,1000000,0.0001633337796341,,seconds,37.128012895584106,37.10268326289952,megabytes,88270.0,88270.0,84.0,82.95294117647059,0.248856576,0.248856576,0.809375,0.7767830882352943,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001633337796341,
1D-exp-vs-cauchy-32p,,,0.101681457838464,1000000,0.0001637452701948,,seconds,38.37754726409912,38.47679436579347,megabytes,88270.0,88270.0,82.0,79.96330275229357,0.24891392,0.24891392,0.80703125,0.7784403669724774,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001637452701948,
1D-exp-vs-cauchy-32p,,,0.6464153985662413,1000000,0.0001610954111848,,seconds,37.05390644073486,36.88999549858272,megabytes,88270.0,88270.0,85.0,83.69565217391305,0.248823808,0.248823808,0.8125,0.7729279891304346,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001610954111848,
1D-exp-vs-cauchy-32p,,,0.7251650059287003,1000000,0.0001595653273594,,seconds,37.632081270217896,37.53742018900812,megabytes,88270.0,88270.0,83.0,81.83211678832117,0.248815616,0.248815616,0.80859375,0.7753649635036496,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001595653273594,
1D-exp-vs-cauchy-32p,,,0.4385772547132332,1000000,0.0001635759814459,,seconds,37.09904360771179,36.94256147183478,megabytes,88270.0,88270.0,85.0,82.96330275229357,0.248868864,0.248868864,0.82109375,0.7754945527522936,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001635759814459,
1D-exp-vs-cauchy-32p,,,0.5636407273222466,1000000,0.0001614868010464,,seconds,37.52022314071655,37.48933801986277,megabytes,88270.0,88270.0,83.0,81.8586956521739,0.24889344,0.24889344,0.821875,0.7811650815217391,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0001614868010464,
1D-exp-vs-cauchy-64p,,,0.246654008244474,1000000,0.0002309553708792,,seconds,44.972989320755005,44.82968318462372,megabytes,88270.0,88270.0,81.0,79.64227642276423,0.2599936,0.353140736,0.809375,0.7702997967479678,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002309553708792,
1D-exp-vs-cauchy-64p,,,0.3980474426245382,1000000,0.0002318665036449,,seconds,43.88813328742981,43.933938367292285,megabytes,88270.0,88270.0,81.0,80.4074074074074,0.250130432,0.250130432,0.80078125,0.7771990740740741,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002318665036449,
1D-exp-vs-cauchy-64p,,,0.7385809862005603,1000000,0.0002297956169983,,seconds,44.107030153274536,44.16583294421434,megabytes,88270.0,88270.0,81.0,80.05660377358491,0.250277888,0.250277888,0.80703125,0.7777270047169809,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002297956169983,
1D-exp-vs-cauchy-64p,,,0.7777276455059183,1000000,0.0002304043140711,,seconds,44.28930592536926,44.11454857327044,megabytes,88270.0,88270.0,81.0,79.94262295081967,0.250228736,0.250228736,0.81796875,0.7774526127049178,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002304043140711,
1D-exp-vs-cauchy-64p,,,0.248719436947464,1000000,0.0002316291214971,,seconds,44.12801790237427,44.1640647854656,megabytes,88270.0,88270.0,81.0,79.78358208955224,0.250261504,0.250261504,0.8171875,0.7797166511194028,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002316291214971,
1D-exp-vs-cauchy-64p,,,0.3871894613603486,1000000,0.0002320530388447,,seconds,43.94152998924256,44.180402444675565,megabytes,88270.0,88270.0,81.0,79.54237288135593,0.25030656,0.25030656,0.81171875,0.7813691737288141,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002320530388447,
1D-exp-vs-cauchy-64p,,,0.5276292874926817,1000000,0.000231741126184,,seconds,44.382630348205566,44.29802080988884,megabytes,88270.0,88270.0,81.0,80.22522522522523,0.25034752,0.25034752,0.8078125,0.7757038288288285,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.000231741126184,
1D-exp-vs-cauchy-64p,,,0.5574201315313263,1000000,0.0002313734948458,,seconds,44.35107946395874,44.27525462396443,megabytes,88270.0,88270.0,81.0,80.18103448275862,0.250195968,0.250195968,0.81015625,0.7780307112068967,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002313734948458,
1D-exp-vs-cauchy-64p,,,0.5487108023249423,1000000,0.0002311960046978,,seconds,43.804935455322266,43.96516539901495,megabytes,88270.0,88270.0,81.0,80.68817204301075,0.250155008,0.250155008,0.80546875,0.7782510080645162,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002311960046978,
1D-exp-vs-cauchy-64p,,,0.5802757079351675,1000000,0.0002307953651027,,seconds,44.29302406311035,44.19800263457,megabytes,88270.0,88270.0,81.0,80.02542372881356,0.250273792,0.250273792,0.8125,0.7789261122881355,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002307953651027,
