dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-exp-vs-gaussian-32p,,,0.0768067766161166,1000000,0.0002483438902467,,seconds,37.52780842781067,37.41958421841264,megabytes,88270.0,88270.0,85.0,83.23664122137404,0.249946112,0.249946112,0.8109375,0.7771946564885498,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002483438902467,
1D-exp-vs-gaussian-32p,,,0.0769600891623239,1000000,0.0002476691939998,,seconds,37.48231267929077,37.4885473176837,megabytes,88270.0,88270.0,84.0,83.075,0.250023936,0.250023936,0.8203125,0.7791601562499999,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002476691939998,
1D-exp-vs-gaussian-32p,,,0.637655757196091,1000000,0.0002401798190933,,seconds,37.86077976226807,37.78646985441446,megabytes,88270.0,88270.0,84.0,82.36134453781513,0.250044416,0.250044416,0.80703125,0.7767463235294122,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002401798190933,
1D-exp-vs-gaussian-32p,,,0.2147668619473983,1000000,0.0002259424173394,,seconds,37.29162240028381,37.19817620888352,megabytes,88270.0,88270.0,84.0,83.42537313432835,0.250105856,0.250105856,0.81484375,0.7767199160447762,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002259424173394,
1D-exp-vs-gaussian-32p,,,0.5261577278222063,1000000,0.0002378194077301,,seconds,37.81418251991272,37.67896234430373,megabytes,88270.0,88270.0,85.0,82.81896551724138,0.250052608,0.250052608,0.8140625,0.7764008620689657,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002378194077301,
1D-exp-vs-gaussian-32p,,,0.3405053434610865,1000000,0.0002406872751673,,seconds,37.68557977676392,37.55169059149921,megabytes,88270.0,88270.0,85.0,83.25396825396825,0.250126336,0.250126336,0.8140625,0.7761966765873016,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002406872751673,
1D-exp-vs-gaussian-32p,,,0.3780400051912325,1000000,0.0002299114632496,,seconds,37.71968483924866,37.53271495178342,megabytes,88270.0,88270.0,85.0,83.87704918032787,0.250159104,0.250159104,0.8140625,0.773456711065573,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002299114632496,
1D-exp-vs-gaussian-32p,,,0.0435273180585379,1000000,0.0002319600691011,,seconds,37.69751310348511,37.60651348344982,megabytes,88270.0,88270.0,85.0,83.14406779661017,0.250109952,0.250109952,0.81484375,0.7760858050847456,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002319600691011,
1D-exp-vs-gaussian-32p,,,0.9494719555055676,1000000,0.0002315206077662,,seconds,37.91300797462464,37.77285423502326,megabytes,88270.0,88270.0,84.0,82.80327868852459,0.250134528,0.250134528,0.834375,0.7727651127049182,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002315206077662,
1D-exp-vs-gaussian-32p,,,0.0863296858300713,1000000,0.0002165096803456,,seconds,37.39756345748901,37.454844722524285,megabytes,88270.0,88270.0,84.0,83.39682539682539,0.250191872,0.250191872,0.8109375,0.7788628472222227,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002165096803456,
1D-exp-vs-gaussian-32p,,,0.1085237635682907,1000000,0.0002429767539768,,seconds,37.81036853790283,37.703790452331305,megabytes,88270.0,88270.0,84.0,82.66956521739131,0.250253312,0.250253312,0.809375,0.7773913043478267,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002429767539768,
1D-exp-vs-gaussian-32p,,,1.0099191314670966,1000000,0.0002435793247118,,seconds,37.524243116378784,37.376201301813126,megabytes,88270.0,88270.0,85.0,83.34920634920636,0.250216448,0.250216448,0.81015625,0.7733816964285718,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002435793247118,
1D-exp-vs-gaussian-32p,,,0.4704727361965642,1000000,0.0002239189880432,,seconds,37.70025205612183,37.507694002240896,megabytes,88270.0,88270.0,84.0,83.390625,0.250331136,0.250331136,0.8171875,0.7749572753906246,success,sgd,1.0,1000000,1e-06,0.002,0.9,0.0002239189880432,
