dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol,learning_rate,momentum,residual_l2,exception
1D-exp-vs-gaussian-32p,32,32,0.0566921510874755,1000000,7.790650956198743e-06,,seconds,41.45993232727051,41.281485222280025,megabytes,548.0,548.0,83.0,76.72067039106145,0.115884032,0.115884032,0.8140625,0.7775488826815636,success,sgd,0.001,1000000,1e-06,0.002,0.9,7.790650956198743e-06,
1D-exp-vs-gaussian-32p,32,32,0.0528023199415524,1000000,5.380945612157638e-06,,seconds,42.63711452484131,42.53529746085405,megabytes,548.0,548.0,79.0,74.50246305418719,0.115683328,0.115683328,0.82421875,0.7774438115763542,success,sgd,0.001,1000000,1e-06,0.002,0.9,5.380945612157638e-06,
1D-exp-vs-gaussian-32p,32,32,0.619245421203668,1000000,3.79068222467216e-05,,seconds,43.05203866958618,43.0067335665226,megabytes,548.0,548.0,81.0,73.91866028708134,0.115593216,0.115593216,0.82421875,0.7777511961722491,success,sgd,0.001,1000000,1e-06,0.002,0.9,3.79068222467216e-05,
1D-exp-vs-gaussian-32p,32,32,0.1983261560584977,214734,9.999919210142875e-07,,seconds,8.7260262966156,8.709099970757961,megabytes,548.0,548.0,79.0,77.17948717948718,0.04605952,0.04605952,0.81328125,0.7730168269230768,success,sgd,0.001,1000000,1e-06,0.002,0.9,9.999919210142875e-07,
1D-exp-vs-gaussian-32p,32,32,0.5064602710198095,1000000,3.037527277978956e-05,,seconds,42.33277320861816,42.182151440531015,megabytes,548.0,548.0,84.0,75.48469387755102,0.115634176,0.115634176,0.815625,0.7780771683673469,success,sgd,0.001,1000000,1e-06,0.002,0.9,3.037527277978956e-05,
1D-exp-vs-gaussian-32p,32,32,0.319919198046282,1000000,7.299616390287197e-06,,seconds,42.650694608688354,42.54935308173299,megabytes,548.0,548.0,79.0,74.5960591133005,0.11563008,0.11563008,0.81875,0.7757812499999993,success,sgd,0.001,1000000,1e-06,0.002,0.9,7.299616390287197e-06,
1D-exp-vs-gaussian-32p,32,32,0.3536750469351237,1000000,1.2880858630072462e-05,,seconds,42.75105571746826,42.57843881472945,megabytes,548.0,548.0,78.0,74.74626865671642,0.115761152,0.115761152,0.82265625,0.7775691853233831,success,sgd,0.001,1000000,1e-06,0.002,0.9,1.2880858630072462e-05,
1D-exp-vs-gaussian-32p,32,32,0.0149076496869065,1000000,4.677948664529939e-06,,seconds,40.32123160362244,40.24898153543472,megabytes,548.0,548.0,83.0,78.08196721311475,0.11575296,0.11575296,0.82265625,0.779410006830601,success,sgd,0.001,1000000,1e-06,0.002,0.9,4.677948664529939e-06,
1D-exp-vs-gaussian-32p,32,32,0.9213572942434622,1000000,2.8917878826042678e-05,,seconds,41.91235828399658,41.800855442881584,megabytes,548.0,548.0,83.0,75.93582887700535,0.115740672,0.115740672,0.82109375,0.7768215240641714,success,sgd,0.001,1000000,1e-06,0.002,0.9,2.8917878826042678e-05,
1D-exp-vs-gaussian-32p,32,32,0.0534739558993914,112882,9.99993958503783e-07,,seconds,4.495846748352051,4.472840148955584,megabytes,548.0,548.0,80.0,76.95,0.04595712,0.04595712,0.80703125,0.7761718750000001,success,sgd,0.001,1000000,1e-06,0.002,0.9,9.99993958503783e-07,
